UNITNO,MAP_SYMBOL,STATE,NAME,AGE,LITH1,LITH2,LITH3
*56,Dne,PENSILVANIA,Northeast Shale,Devonian,Shale,Siltstone,
*55,Dg,PENSILVANIA,Girard Shale,Devonian,Argillaceous shale,Siltstone,
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*1,Qs,PENSILVANIA,Sands of Presque Isle,Quaternary,Sand,,
*28,,PENSILVANIA,,,,,
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*0,,PENSILVANIA,,,,,
*1,Qs,PENSILVANIA,Sands of Presque Isle,Quaternary,Sand,,
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*0,,PENSILVANIA,,,,,
*0,,PENSILVANIA,,,,,
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*55,Dg,PENSILVANIA,Girard Shale,Devonian,Argillaceous shale,Siltstone,
